o1,energiaBasica,5815,2021-09-10 15:21:32.5940735 +0000 UTC
o2,energiaBasica,9800,2021-09-10 15:21:32.594589 +0000 UTC
o3,energiaBasica,9800,2021-09-10 15:21:32.594589 +0000 UTC
o4,energiaBasica,9187,2021-09-10 15:21:32.5949111 +0000 UTC
o5,energiaBasica,9187,2021-09-10 15:21:32.5949111 +0000 UTC
o6,energiaBasica,9187,2021-09-10 15:21:32.5949111 +0000 UTC
o7,energiaBasica,9187,2021-09-10 15:21:32.5949111 +0000 UTC
o8,energiaBasica,9187,2021-09-10 15:21:32.5949111 +0000 UTC
o9,energiaBasica,9187,2021-09-10 15:21:32.5949111 +0000 UTC
o10,energiaBasica,9187,2021-09-10 15:21:32.5949111 +0000 UTC
