o1,energiaBasica,8221,2021-09-10 15:13:08.6094417 +0000 UTC
o2,energiaBasica,8233,2021-09-10 15:13:08.6094611 +0000 UTC
o3,energiaBasica,6641,2021-09-10 15:13:08.6094772 +0000 UTC
o4,energiaBasica,9822,2021-09-10 15:13:08.6094931 +0000 UTC
o5,energiaBasica,7195,2021-09-10 15:13:08.6095089 +0000 UTC
o6,energiaBasica,6641,2021-09-10 15:13:08.6095248 +0000 UTC
o7,energiaBasica,8097,2021-09-10 15:13:08.6095405 +0000 UTC
o8,energiaBasica,5198,2021-09-10 15:13:08.6095563 +0000 UTC
o9,energiaBasica,7140,2021-09-10 15:13:08.6095721 +0000 UTC
o10,energiaBasica,7056,2021-09-10 15:13:08.6095881 +0000 UTC
